Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1994,Economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,Princeton University,Princeton NJ,1928,2015,John F. Nash Jr.,USA,Bluefield WV,USA,New Jersey NJ,USA,M,87
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,University of Illinois,Urbana IL,1908,1991,John Bardeen,USA,Madison WI,USA,Boston MA,USA,M,83
2006,Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Stanford University School of Medicine,Stanford CA,1959,,Andrew Z. Fire,USA,Stanford CA,,,USA,M,
2006,Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,University of Massachusetts Medical School,Worcester MA,1960,,Craig C. Mello,USA,New Haven CT,,,USA,M,
2007,Economics,for having laid the foundations of mechanism design theory,Institute for Advanced Study,Princeton NJ,1950,,Eric S. Maskin,USA,New York NY,,,USA,M,
2010,Peace,for his long and non-violent struggle for fundamental human rights in China,,,1955,2017,Xiaobo Liu,China,Changchun,China,Shenyang,,M,62
2015,Chemistry,for mechanistic studies of DNA repair,Francis Crick Institute,Hertfordshire,1938,,Tomas Lindahl,Sweden,Stockholm,,,United Kingdom,M,
1979,Medicine,for the development of computer assisted tomography,Tufts University,Medford MA,1924,1998,Allan M. Cormack,South Africa,Johannesburg,USA,Winchester MA,USA,M,74
1992,Medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,University of Washington,Seattle WA,1918,2009,Edwin G. Krebs,USA,Lansing IA,USA,Seattle WA,USA,M,91
1993,Medicine,for their discoveries of split genes,Massachusetts Institute of Technology (MIT) Center for Cancer Research,Cambridge MA,1944,,Phillip A. Sharp,USA,Falmouth KY,,,USA,M,
1979,Physics,for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current,Harvard University,Cambridge MA,1933,2021,Steven Weinberg,USA,New York NY,USA,Austin TX,USA,M,88
1996,Physics,for their discovery of superfluidity in helium-3,Cornell University,Ithaca NY,1931,,David M. Lee,USA,Rye NY,,,USA,M,
1921,Chemistry,for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes,University of Oxford,Oxford,1877,1956,Frederick Soddy,United Kingdom,Eastbourne,United Kingdom,Brighton,United Kingdom,M,79
1938,Chemistry,for his work on carotenoids and vitamins,Kaiser-Wilhelm-Institut (now Max-Planck Institut) fÅr Medizinische Forschung,Heidelberg,1900,1967,Richard Kuhn,Austria,Vienna,Germany,Heidelberg,Germany,M,67
2015,Peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,,,,,National Dialogue Quartet,,,,,,,
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,Princeton University,Princeton NJ,1951,,F. Duncan M. Haldane,United Kingdom,London,,,USA,M,
2017,Peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,,,,,International Campaign to Abolish Nuclear Weapons,,,,,,,
2022,Peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,,,1962,,Ales Bialiatski,Russia,Vyartsilya Karelia,,,,M,
1971,Chemistry,for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals,National Research Council of Canada,Ottawa,1904,1999,Gerhard Herzberg,Germany,Hamburg,Canada,Ottawa,Canada,M,95
1972,Chemistry,for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation,National Institutes of Health,Bethesda MD,1916,1995,Christian Anfinsen,USA,Monessen PA,USA,Randallstown MD,USA,M,79
1972,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Rockefeller University,New York NY,1913,1982,Stanford Moore,USA,Chicago IL,USA,New York NY,USA,M,69
1983,Chemistry,for his work on the mechanisms of electron transfer reactions especially in metal complexes,Stanford University,Stanford CA,1915,2005,Henry Taube,Canada,Neudorf,USA,Stanford CA,USA,M,90
1909,Medicine,for his work on the physiology pathology and surgery of the thyroid gland,Berne University,Bern,1841,1917,Theodor Kocher,Switzerland,Bern,Switzerland,Bern,Switzerland,M,76
1922,Medicine,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,Kiel University,Kiel,1884,1951,Otto Meyerhof,Germany,Hanover,USA,Philadelphia PA,Germany,M,67
1945,Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,London University,London,1881,1955,Sir Alexander Fleming,Scotland,Lochfield,United Kingdom,London,United Kingdom,M,74
1945,Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,University of Oxford,Oxford,1898,1968,Sir Howard Florey,Australia,Adelaide,United Kingdom,Oxford,United Kingdom,M,70
1947,Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,1887,1971,Bernardo Houssay,Argentina,Buenos Aires,Argentina,Buenos Aires,Argentina,M,84
1950,Medicine,for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects,Mayo Clinic,Rochester MN,1896,1965,Philip S. Hench,USA,Pittsburgh PA,Jamaica,Ocho Rios,USA,M,69
1956,Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,1895,1988,AndrÇ F. Cournand,France,Paris,USA,Great Barrington MA,USA,M,93
1962,Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,Harvard University,Cambridge MA,1928,,James Watson,USA,Chicago IL,,,USA,M,
1965,Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,Institut Pasteur,Paris,1920,2013,Franáois Jacob,France,Nancy,France,Paris,France,M,93
2001,Economics,for their analyses of markets with asymmetric information,University of California,Berkeley CA,1940,,George A. Akerlof,USA,New Haven CT,,,USA,M,
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,1947,,Aaron Ciechanover,Israel,Haifa,,,Israel,M,
2005,Literature,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,,,1930,2008,Harold Pinter,United Kingdom,London,United Kingdom,London,,M,78
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,LIGO/VIRGO Collaboration,,1940,,Kip S. Thorne,USA,Logan UT,,,,M,
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,Bell Laboratories,Murray Hill NJ,1924,2011,Willard S. Boyle,Canada,Amherst NS,Canada,Truro NS,USA,M,87
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,,,1938,,Ellen Johnson Sirleaf,Liberia,Monrovia,,,,F,
2013,Physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,UniversitÇ Libre de Bruxelles,Brussels,1932,,Franáois Englert,Belgium,Etterbeek,,,Belgium,M,
2022,Economics,for research on banks and financial crises,University of Chicago,Chicago IL,1953,,Douglas Diamond,USA,Chicago IL,,,USA,M,
1955,Chemistry,for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone,Cornell University,Ithaca NY,1901,1978,Vincent du Vigneaud,USA,Chicago IL,USA,White Plains NY,USA,M,77
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,Du Pont,Wilmington DE,1904,1989,Charles J. Pedersen,South Korea,Pusan,USA,Salem NJ,USA,M,85
1991,Chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,Eidgenîssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,1933,2021,Richard R. Ernst,Switzerland,Winterthur,Switzerland,Winterthur,Switzerland,M,88
1997,Chemistry,for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase,Aarhus University,Aarhus,1918,2018,Jens C. Skou,Denmark,Lemvig,Denmark,Aarhus,Denmark,M,100
1966,Medicine,for his discovery of tumour-inducing viruses,Rockefeller University,New York NY,1879,1970,Peyton Rous,USA,Baltimore MD,USA,New York NY,USA,M,91
1968,Medicine,for their interpretation of the genetic code and its function in protein synthesis,Cornell University,Ithaca NY,1922,1993,Robert W. Holley,USA,Urbana IL,USA,Los Gatos CA,USA,M,71
2013,Economics,for their empirical analysis of asset prices,Yale University,New Haven CT,1946,,Robert J. Shiller,USA,Detroit MI,,,USA,M,
1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,Columbia University,New York NY,1862,1947,Nicholas Murray Butler,USA,Elizabeth NJ,USA,New York NY,USA,M,85
1971,Peace,for paving the way for a meaningful dialogue between East and West,,,1913,1992,Willy Brandt,Germany,LÅbeck,Germany,Unkel,,M,79
1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973,,,1911,1990,Le Duc Tho,Vietnam,Nam Ha province,Vietnam,Hanoi,,M,79
1997,Peace,for their work for the banning and clearing of anti-personnel mines,,,,,International Campaign to Ban Landmines,,,,,,,
1904,Literature,in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama,,,1832,1916,JosÇ Echegaray,Spain,Madrid,Spain,Madrid,,M,84
1924,Literature,for his great national epic <I>The Peasants</I>,,,1867,1925,Wladyslaw Reymont,Poland,Kobiele Wielkie,Poland,Warsaw,,M,58
1974,Literature,for writings that catch the dewdrop and reflect the cosmos,,,1904,1978,Harry Martinson,Sweden,JÑmshîg,Sweden,Stockholm,,M,74
1984,Literature,for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man,,,1901,1986,Jaroslav Seifert,Czech Republic,Prague,Czech Republic,Prague,,M,85
1994,Economics,for their pioneering analysis of equilibria in the theory of non-cooperative games,University of California,Berkeley CA,1920,2000,John C. Harsanyi,Hungary,Budapest,USA,Berkeley CA,USA,M,80
1997,Economics,for a new method to determine the value of derivatives,Long Term Capital Management,Greenwich CT,1941,,Myron Scholes,Canada,Timmins ON,,,USA,M,
1989,Physics,for the development of the ion trap technique,University of Washington,Seattle WA,1922,2017,Hans G. Dehmelt,Germany,Gîrlitz,USA,Seattle WA,USA,M,95
1958,Physics,for the discovery and the interpretation of the Cherenkov effect,Lomonosov Moscow State University,Moscow,1895,1971,Igor Y. Tamm,Russia,Vladivostok,Russia,Moscow,Russia,M,76
1969,Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,California Institute of Technology (Caltech),Pasadena CA,1906,1981,Max DelbrÅck,Germany,Berlin,USA,Pasadena CA,USA,M,75
1969,Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Carnegie Institution of Washington,Long Island New York NY,1908,1997,Alfred D. Hershey,USA,Owosso MI,USA,Syosset NY,USA,M,89
1988,Medicine,for their discoveries of important principles for drug treatment,Wellcome Research Laboratories,Research Triangle Park NC,1918,1999,Gertrude B. Elion,USA,New York NY,USA,Chapel Hill NC,USA,F,81
1990,Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,Brigham and Women's Hospital,Boston MA,1919,2012,Joseph E. Murray,USA,Milford MA,USA,Boston MA,USA,M,93
